	H01	H02	H03	H04	H05	H06	H07	H08	date	rands	notes
1	P0141	Consumer Price Index	1111001	Rice	Price (Rand)	monthly	10917	1 Kilogram	2017-01-01 	18.65	
80	P0141	Consumer Price Index	1111001	Rice	Price (Rand)	monthly	10924	2 Kilogram	2017-01-01 	26.87	
159	P0141	Consumer Price Index	1112001	Loaf of white bread	Price (Rand)	monthly	10902	700 Gram	2017-01-01 	13.41	
238	P0141	Consumer Price Index	1112002	Loaf of brown bread	Price (Rand)	monthly	10902	700 Gram	2017-01-01 	12.31	
317	P0141	Consumer Price Index	1112003	Sweet biscuits	Price (Rand)	monthly	10855	200 Gram	2017-01-01 	14.46	
396	P0141	Consumer Price Index	1112004	Savoury biscuits	Price (Rand)	monthly	10855	200 Gram	2017-01-01 	19.21	
475	P0141	Consumer Price Index	1112005	Bread rolls	Price (Rand)	monthly	10558	For 6	2017-01-01 	13.09	
554	P0141	Consumer Price Index	1112301	Rusks	Price (Rand)	monthly	10895	500 Gram	2017-01-01 	33.48	
633	P0141	Consumer Price Index	1113001	Spaghetti	Price (Rand)	monthly	10895	500 Gram	2017-01-01 	13.15	
712	P0141	Consumer Price Index	1113002	Macaroni	Price (Rand)	monthly	10895	500 Gram	2017-01-01 	12.88	
791	P0141	Consumer Price Index	1113003	Pasta (excl spaghetti, macaroni)	Price (Rand)	monthly	10895	500 Gram	2017-01-01 	17.53	
870	P0141	Consumer Price Index	1113004	Instant noodles (e.g. 2 minute noodles)	Price (Rand)	monthly	10547	73 Gram	2017-01-01 	4.38	
949	P0141	Consumer Price Index	1116001	Cake flour	Price (Rand)	monthly	10926	2.5 Kilogram	2017-01-01 	26.81	
1028	P0141	Consumer Price Index	1116002	Bread flour	Price (Rand)	monthly	10926	2.5 Kilogram	2017-01-01 	31.41	
1107	P0141	Consumer Price Index	1116003	Maize meal	Price (Rand)	monthly	10926	2,5 Kilogram	2017-01-01 	..	
1186	P0141	Consumer Price Index	1116003	Maize meal	Price (Rand)	monthly	10931	5 Kilogram	2017-01-01 	..	
1265	P0141	Consumer Price Index	1116005	Cereals	Price (Rand)	monthly	10895	500 Gram	2017-01-01 	31.74	
1344	P0141	Consumer Price Index	1116008	Super maize	Price (Rand)	monthly	10917	1 Kilogram	2017-01-01 	12.87	
1423	P0141	Consumer Price Index	1116008	Super maize	Price (Rand)	monthly	10926	2.5 Kilogram	2017-01-01 	28.92	
1502	P0141	Consumer Price Index	1116008	Super maize	Price (Rand)	monthly	10931	5 Kilogram	2017-01-01 	54.39	
1581	P0141	Consumer Price Index	1116009	Special maize	Price (Rand)	monthly	10917	1 Kilogram	2017-01-01 	11.51	
1660	P0141	Consumer Price Index	1116009	Special maize	Price (Rand)	monthly	10926	2.5 Kilogram	2017-01-01 	26.47	
1739	P0141	Consumer Price Index	1116010	Hot cereals (porridge) incl instant porridge	Price (Rand)	monthly	10917	1 Kilogram	2017-01-01 	19.76	
1818	P0141	Consumer Price Index	1116011	Ready-mix flour	Price (Rand)	monthly	10917	1 Kilogram	2017-01-01 	23.37	
1897	P0141	Consumer Price Index	1116012	Samp	Price (Rand)	monthly	10917	1 Kilogram	2017-01-01 	..	
1976	P0141	Consumer Price Index	1121001	Beef rump steak	Price (Rand)	Monthly	10734	Per Kilogram	2017-01-01 	117.18	
2055	P0141	Consumer Price Index	1121002	Beef brisket	Price (Rand)	Monthly	10734	Per Kilogram	2017-01-01 	72.42	
2134	P0141	Consumer Price Index	1121003	Beef chuck	Price (Rand)	Monthly	10734	Per Kilogram	2017-01-01 	73.67	
2213	P0141	Consumer Price Index	1121004	Beef T-bone	Price (Rand)	Monthly	10734	Per Kilogram	2017-01-01 	90.48	
2292	P0141	Consumer Price Index	1121005	Beef mince	Price (Rand)	monthly	10734	Per Kilogram	2017-01-01 	71.34	
2371	P0141	Consumer Price Index	1121006	Beef fillet	Price (Rand)	Monthly	10734	Per Kilogram	2017-01-01 	173.64	
2450	P0141	Consumer Price Index	1121008	Beef Sirloin	Price (Rand)	Monthly	10734	Per Kilogram	2017-01-01 	121.18	
2529	P0141	Consumer Price Index	1121009	Stewing beef	Price (Rand)	Monthly	10734	Per Kilogram	2017-01-01 	70.35	
2608	P0141	Consumer Price Index	1121010	Beef offal	Price (Rand)	monthly	10734	Per Kilogram	2017-01-01 	43.23	
2687	P0141	Consumer Price Index	1122001	Pork chops	Price (Rand)	Monthly	10734	Per Kilogram	2017-01-01 	78.59	
2766	P0141	Consumer Price Index	1122002	Pork ribs	Price (Rand)	Monthly	10734	Per Kilogram	2017-01-01 	80.61	
2845	P0141	Consumer Price Index	1122003	Pork fillet	Price (Rand)	Monthly	10734	Per Kilogram	2017-01-01 	96.07	
2924	P0141	Consumer Price Index	1123002	Mutton/Lamb rib chop	Price (Rand)	Monthly	10734	Per Kilogram	2017-01-01 	133.99	
3003	P0141	Consumer Price Index	1123003	Mutton/Lamb loin chop	Price (Rand)	Monthly	10734	Per Kilogram	2017-01-01 	137.32	
3082	P0141	Consumer Price Index	1123005	Mutton/Lamb leg	Price (Rand)	Monthly	10734	Per Kilogram	2017-01-01 	123.84	
3161	P0141	Consumer Price Index	1123006	Mutton/Lamb neck	Price (Rand)	Monthly	10734	Per Kilogram	2017-01-01 	97.13	
3240	P0141	Consumer Price Index	1123007	Mutton/Lamb ofal	Price (Rand)	Monthly	10734	Per Kilogram	2017-01-01 	39.77	
3319	P0141	Consumer Price Index	1123008	Stewing mutton/lamb	Price (Rand)	Monthly	10734	Per Kilogram	2017-01-01 	89.7	
3398	P0141	Consumer Price Index	1124001	Whole chicken - fresh	Price (Rand)	monthly	10734	Per Kilogram	2017-01-01 	43.69	
3477	P0141	Consumer Price Index	1124002	Chicken portions - fresh	Price (Rand)	monthly	10734	Per Kilogram	2017-01-01 	56.04	
3556	P0141	Consumer Price Index	1124005	IQF chicken portions	Price (Rand)	monthly	10924	2 Kilogram	2017-01-01 	61.47	
3635	P0141	Consumer Price Index	1124006	Chicken portions frozen - non IQF	Price (Rand)	monthly	10734	Per Kilogram	2017-01-01 	40.74	
3714	P0141	Consumer Price Index	1124007	Chicken giblets (neck, gizzards, hearts, etc)	Price (Rand)	monthly	10734	Per Kilogram	2017-01-01 	30.89	
3793	P0141	Consumer Price Index	1125004	Polony	Price (Rand)	monthly	10917	1 Kilogram	2017-01-01 	36.37	
3872	P0141	Consumer Price Index	1125005	Ham	Price (Rand)	monthly	10895	500 Gram	2017-01-01 	35.37	
3951	P0141	Consumer Price Index	1125006	Biltong	Price (Rand)	monthly	10734	Per Kilogram	2017-01-01 	249.08	
4030	P0141	Consumer Price Index	1125007	Bacon	Price (Rand)	monthly	10855	200 Gram	2017-01-01 	28.78	
4109	P0141	Consumer Price Index	1125009	Sausage	Price (Rand)	monthly	10734	Per Kilogram	2017-01-01 	70.11	
4188	P0141	Consumer Price Index	1126002	Beef extract	Price (Rand)	monthly	10839	120 Gram	2017-01-01 	12.35	
4267	P0141	Consumer Price Index	1126005	Corned beef	Price (Rand)	monthly	10869	300 Gram	2017-01-01 	21.97	
4346	P0141	Consumer Price Index	1131001	Hake - frozen	Price (Rand)	monthly	10884	400 Gram	2017-01-01 	52.51	
4425	P0141	Consumer Price Index	1134001	Fish fingers - frozen	Price (Rand)	monthly	10884	400 Gram	2017-01-01 	37.44	
4504	P0141	Consumer Price Index	1134002	Tuna - tinned	Price (Rand)	monthly	10850	170 Gram	2017-01-01 	17.24	
4583	P0141	Consumer Price Index	1134003	Fish (excl tuna) - tinned	Price (Rand)	monthly	10884	400 Gram	2017-01-01 	18.1	
4662	P0141	Consumer Price Index	1141001	Full cream milk - fresh	Price (Rand)	monthly	10963	2 Litre	2017-01-01 	26.06	
4741	P0141	Consumer Price Index	1141002	Full cream milk - long life	Price (Rand)	monthly	10960	1 Litre	2017-01-01 	14.01	
4820	P0141	Consumer Price Index	1142001	Low fat milk - fresh	Price (Rand)	monthly	10963	2 Litre	2017-01-01 	26.3	
4899	P0141	Consumer Price Index	1142002	Low fat milk - long life	Price (Rand)	monthly	10960	1 Litre	2017-01-01 	13.92	
4978	P0141	Consumer Price Index	1143001	Powdered milk	Price (Rand)	monthly	10916	900 Gram	2017-01-01 	138.02	
5057	P0141	Consumer Price Index	1143002	Whiteners	Price (Rand)	monthly	10895	500 Gram	2017-01-01 	23.34	
5136	P0141	Consumer Price Index	1143003	Condensed milk	Price (Rand)	monthly	10881	385 Gram	2017-01-01 	22.38	
5215	P0141	Consumer Price Index	1144001	Plain yogurt	Price (Rand)	monthly	10917	1 Kilogram	2017-01-01 	28.27	
5294	P0141	Consumer Price Index	1144002	Flavoured yogurt	Price (Rand)	monthly	10917	1 Kilogram	2017-01-01 	29.01	
5373	P0141	Consumer Price Index	1145001	Cheddar cheese	Price (Rand)	monthly	10734	Per Kilogram	2017-01-01 	98.54	
5452	P0141	Consumer Price Index	1145001	Cheddar cheese	Price (Rand)	monthly	10916	900 Gram	2017-01-01 	93.48	
5531	P0141	Consumer Price Index	1145002	Gouda cheese	Price (Rand)	monthly	10855	200 Gram	2017-01-01 	25.63	
5610	P0141	Consumer Price Index	1145002	Gouda cheese	Price (Rand)	monthly	10916	900 Gram	2017-01-01 	94.56	
5689	P0141	Consumer Price Index	1145003	Cheese spread	Price (Rand)	monthly	10863	250 Gram	2017-01-01 	28.54	
5768	P0141	Consumer Price Index	1145004	Feta cheese	Price (Rand)	monthly	10884	400 Gram	2017-01-01 	44.36	
5847	P0141	Consumer Price Index	1146001	Cream - fresh	Price (Rand)	monthly	11019	250 Millilitre	2017-01-01 	19.37	
5926	P0141	Consumer Price Index	1146002	Sour milk	Price (Rand)	monthly	10924	2 Kilogram	2017-01-01 	28.26	
6005	P0141	Consumer Price Index	1146003	Custard - prepared	Price (Rand)	monthly	10960	1 Litre	2017-01-01 	27.04	
6084	P0141	Consumer Price Index	1146004	Maize based food drink (e.g. mageu )	Price (Rand)	monthly	10960	1 Litre	2017-01-01 	13.15	
6163	P0141	Consumer Price Index	1146005	Flavoured milk	Price (Rand)	monthly	11022	300 Millilitre	2017-01-01 	9.55	
6242	P0141	Consumer Price Index	1147001	Eggs	Price (Rand)	monthly	10558	For 6	2017-01-01 	14.73	
6321	P0141	Consumer Price Index	1147001	Eggs	Price (Rand)	monthly	10563	For 18	2017-01-01 	37.17	
6400	P0141	Consumer Price Index	1152001	Margarine spread (in a tub)	Price (Rand)	monthly	10895	500 Gram	2017-01-01 	24.87	
6479	P0141	Consumer Price Index	1152002	Brick margarine	Price (Rand)	monthly	10895	500 Gram	2017-01-01 	22.82	
6558	P0141	Consumer Price Index	1152003	Peanut butter	Price (Rand)	monthly	10884	400 Gram	2017-01-01 	27.31	
6637	P0141	Consumer Price Index	1154001	Sunflower oil (incl canola oil)	Price (Rand)	monthly	11044	750 Millilitre	2017-01-01 	22.48	
6716	P0141	Consumer Price Index	1161001	Oranges	Price (Rand)	Monthly	10734	Per Kilogram	2017-01-01 	21.49	
6795	P0141	Consumer Price Index	1162001	Bananas	Price (Rand)	monthly	10734	Per Kilogram	2017-01-01 	16.33	
6874	P0141	Consumer Price Index	1163001	Apples	Price (Rand)	monthly	10734	Per Kilogram	2017-01-01 	18.24	
6953	P0141	Consumer Price Index	1164001	Pears	Price (Rand)	Monthly	10734	Per Kilogram	2017-01-01 	19.73	
7032	P0141	Consumer Price Index	1165004	Avocados	Price (Rand)	Monthly	11015	Each	2017-01-01 	13.08	
7111	P0141	Consumer Price Index	1167001	Paw paw	Price (Rand)	Monthly	11015	Each	2017-01-01 	0	
7190	P0141	Consumer Price Index	1167002	Pineapple	Price (Rand)	Monthly	11015	Each	2017-01-01 	14.26	
7269	P0141	Consumer Price Index	1168004	Peanuts	Price (Rand)	monthly	10845	150 Gram	2017-01-01 	15.76	
7348	P0141	Consumer Price Index	1171001	Lettuce	Price (Rand)	monthly	11015	Each	2017-01-01 	14.02	
7427	P0141	Consumer Price Index	1171002	Spinach/morogo	Price (Rand)	monthly	10735	Per Bunch	2017-01-01 	8.34	
7506	P0141	Consumer Price Index	1172001	Cabbage	Price (Rand)	monthly	11015	Each	2017-01-01 	12.57	
7585	P0141	Consumer Price Index	1172002	Cauliflower	Price (Rand)	monthly	11015	Each	2017-01-01 	15.21	
7664	P0141	Consumer Price Index	1172003	Broccoli	Price (Rand)	monthly	11015	Each	2017-01-01 	0	
7743	P0141	Consumer Price Index	1173001	Tomatoes	Price (Rand)	monthly	10734	Per Kilogram	2017-01-01 	16.04	
7822	P0141	Consumer Price Index	1173002	Pumpkin	Price (Rand)	monthly	10734	Per Kilogram	2017-01-01 	12.98	
7901	P0141	Consumer Price Index	1173003	Green/red/yellow pepper	Price (Rand)	monthly	10734	Per Kilogram	2017-01-01 	37.47	
7980	P0141	Consumer Price Index	1173004	Vegetables  - frozen	Price (Rand)	monthly	10917	1 Kilogram	2017-01-01 	35.53	
8059	P0141	Consumer Price Index	1173006	Cucumber	Price (Rand)	monthly	11015	Each	2017-01-01 	9.51	
8138	P0141	Consumer Price Index	1174001	Onions	Price (Rand)	monthly	10734	Per Kilogram	2017-01-01 	11.06	
8217	P0141	Consumer Price Index	1174002	Carrots	Price (Rand)	monthly	10917	1 Kilogram	2017-01-01 	10.57	
8296	P0141	Consumer Price Index	1174003	Beetroot	Price (Rand)	monthly	10917	1 Kilogram	2017-01-01 	12.89	
8375	P0141	Consumer Price Index	1174005	Mushrooms	Price (Rand)	monthly	10863	250 Gram	2017-01-01 	21.1	
8454	P0141	Consumer Price Index	1175002	Beans - dried	Price (Rand)	monthly	10895	500 Gram	2017-01-01 	19.86	
8533	P0141	Consumer Price Index	1176002	Baked beans - tinned	Price (Rand)	monthly	10886	410 Gram	2017-01-01 	9.34	
8612	P0141	Consumer Price Index	1176005	Prepared salads	Price (Rand)	monthly	10734	Per Kilogram	2017-01-01 	65.78	
8691	P0141	Consumer Price Index	1176006	Atchar	Price (Rand)	monthly	10884	400 Gram	2017-01-01 	26.05	
8770	P0141	Consumer Price Index	1176007	Mixed vegetables - tinned	Price (Rand)	monthly	10886	410 Gram	2017-01-01 	13.28	
8849	P0141	Consumer Price Index	1177001	Potatoes	Price (Rand)	monthly	10734	Per Kilogram	2017-01-01 	12.51	
8928	P0141	Consumer Price Index	1178001	Sweet potatoes	Price (Rand)	monthly	10734	Per Kilogram	2017-01-01 	23.84	
9007	P0141	Consumer Price Index	1178002	Potato chips - frozen	Price (Rand)	monthly	10917	1 Kilogram	2017-01-01 	29.87	
9086	P0141	Consumer Price Index	1178003	Potato crisps	Price (Rand)	monthly	10840	125 Gram	2017-01-01 	13.75	
9165	P0141	Consumer Price Index	1178004	Corn chips	Price (Rand)	monthly	10845	150 Gram	2017-01-01 	14.24	
9244	P0141	Consumer Price Index	1181001	White sugar	Price (Rand)	monthly	10926	2.5 Kilogram	2017-01-01 	37.18	
9323	P0141	Consumer Price Index	1181002	Brown sugar	Price (Rand)	monthly	10917	1 Kilogram	2017-01-01 	16.52	
9402	P0141	Consumer Price Index	1182001	Jam	Price (Rand)	monthly	10892	450 Gram	2017-01-01 	..	
9481	P0141	Consumer Price Index	1182001	Jam	Price (Rand)	monthly	10916	900 Gram	2017-01-01 	..	
9560	P0141	Consumer Price Index	1183001	Chocolate slab	Price (Rand)	monthly	10824	80 Gram	2017-01-01 	14.15	
9639	P0141	Consumer Price Index	1183002	Chocolate bar	Price (Rand)	monthly	11015	Each	2017-01-01 	8.96	
9718	P0141	Consumer Price Index	1184001	Sweets	Price (Rand)	monthly	10840	125 Gram	2017-01-01 	16.73	
9797	P0141	Consumer Price Index	1184002	Chewing gum	Price (Rand)	monthly	10746	For 10	2017-01-01 	11.1	
9876	P0141	Consumer Price Index	1185001	Ice cream	Price (Rand)	monthly	10699	1.8 Litre	2017-01-01 	47.67	
9955	P0141	Consumer Price Index	1185001	Ice cream	Price (Rand)	monthly	10963	2 Litre	2017-01-01 	49.31	
10034	P0141	Consumer Price Index	1191001	Vinegar	Price (Rand)	monthly	11044	750 Millilitre	2017-01-01 	11.14	
10113	P0141	Consumer Price Index	1191002	Chutney	Price (Rand)	monthly	10894	470 Gram	2017-01-01 	24.26	
10192	P0141	Consumer Price Index	1191004	Tomato sauce	Price (Rand)	monthly	10581	700 Millilitre	2017-01-01 	22.7	
10271	P0141	Consumer Price Index	1191005	Mayonnaise	Price (Rand)	monthly	10906	750 Gram	2017-01-01 	25.84	
10350	P0141	Consumer Price Index	1191006	Salad dressing	Price (Rand)	monthly	11026	340 Millilitre	2017-01-01 	26.72	
10429	P0141	Consumer Price Index	1192001	Salt	Price (Rand)	monthly	10895	500 Gram	2017-01-01 	8.26	
10508	P0141	Consumer Price Index	1192002	Spices (excl salt and curry powder)	Price (Rand)	monthly	11008	100 Millilitre	2017-01-01 	25.17	
10587	P0141	Consumer Price Index	1192003	Curry powder	Price (Rand)	monthly	10833	100 Gram	2017-01-01 	20.36	
10666	P0141	Consumer Price Index	1193001	Baby food - cereal	Price (Rand)	monthly	10863	250 Gram	2017-01-01 	26.57	
10745	P0141	Consumer Price Index	1193003	Baby food - milk formula	Price (Rand)	monthly	10916	900 Gram	2017-01-01 	142.1	
10824	P0141	Consumer Price Index	1193004	Instant yeast	Price (Rand)	monthly	10786	10 Gram	2017-01-01 	3.74	
10903	P0141	Consumer Price Index	1193005	Baking powder	Price (Rand)	monthly	10855	200 Gram	2017-01-01 	28.71	
10982	P0141	Consumer Price Index	1193006	Soup powder	Price (Rand)	monthly	10807	50 Gram	2017-01-01 	5.01	
11061	P0141	Consumer Price Index	1211001	Instant coffee	Price (Rand)	monthly	10863	250 Gram	2017-01-01 	34.83	
11140	P0141	Consumer Price Index	1211002	Ground coffee or coffee beans	Price (Rand)	monthly	10863	250 Gram	2017-01-01 	63.16	
11219	P0142	Consumer Price Index	1211003	Capuccino	Price (Rand)	monthly	11154	10 X 18 Gram	2017-01-01 	..	
11298	P0141	Consumer Price Index	1212001	Ceylon/black tea	Price (Rand)	monthly	10863	250 Gram	2017-01-01 	30.66	
11377	P0141	Consumer Price Index	1212002	Rooibos tea	Price (Rand)	monthly	10855	200 Gram	2017-01-01 	34.51	
11456	P0141	Consumer Price Index	1213001	Drinking chocolate (e.g.  milo, cocoa )	Price (Rand)	monthly	10895	500 Gram	2017-01-01 	52.7	
11535	P0141	Consumer Price Index	1221001	Mineral water - sparkling or still	Price (Rand)	monthly	11039	500 Millilitre	2017-01-01 	6.34	
11614	P0141	Consumer Price Index	1222001	Fizzy drinks - can	Price (Rand)	monthly	11022	300 Millilitre	2017-01-01 	8.25	
11693	P0141	Consumer Price Index	1222002	Fizzy drinks - bottle	Price (Rand)	monthly	10963	2 Litre	2017-01-01 	15.07	
11772	P0141	Consumer Price Index	1223001	Fruit juice	Price (Rand)	monthly	10960	1 Litre	2017-01-01 	20.36	
11851	P0141	Consumer Price Index	1223002	Fruit juice concentrates	Price (Rand)	monthly	10960	1 Litre	2017-01-01 	27.15	
11930	P0141	Consumer Price Index	1223003	Dairy mixture	Price (Rand)	monthly	10960	1 Litre	2017-01-01 	..	
12009	P0141	Consumer Price Index	2111001	Brandy	Price (Rand)	monthly	11044	750 Millilitre	2017-01-01 	141.71	
12088	P0141	Consumer Price Index	2111002	Whiskey	Price (Rand)	monthly	11044	750 Millilitre	2017-01-01 	173.92	
12167	P0141	Consumer Price Index	2111003	Liqueur	Price (Rand)	monthly	11044	750 Millilitre	2017-01-01 	141.42	
12246	P0141	Consumer Price Index	2111004	Vodka	Price (Rand)	monthly	11044	750 Millilitre	2017-01-01 	133.09	
12325	P0141	Consumer Price Index	2121001	Red wine	Price (Rand)	monthly	11044	750 Millilitre	2017-01-01 	50.94	
12404	P0141	Consumer Price Index	2121002	White wine	Price (Rand)	monthly	11044	750 Millilitre	2017-01-01 	47.49	
12483	P0141	Consumer Price Index	2122001	Spirit coolers or cider	Price (Rand)	monthly	11025	330 Millilitre	2017-01-01 	17.13	
12562	P0141	Consumer Price Index	2122002	Gin	Price (Rand)	monthly	11044	750 Millilitre	2017-01-01 	..	
12641	P0141	Consumer Price Index	2131004	Beer	Price (Rand)	monthly	11025	330 Millilitre	2017-01-01 	11.86	
12720	P0141	Consumer Price Index	2211001	Cigarettes	Price (Rand)	monthly	10527	For 20	2017-01-01 	35.51	
12799	P0141	Consumer Price Index	4531001	Paraffin	Price (Rand)	Monthly	11044	750 Millilitre	2017-01-01 	24.3	
12878	P0141	Consumer Price Index	5521003	Light bulb - non-energy savers	Price (Rand)	Monthly	11015	Each	2017-01-01 	31.66	
12957	P0141	Consumer Price Index	5521007	Light bulb - energy savers	Price (Rand)	Monthly	11015	Each	2017-01-01 	41.9	
13036	P0141	Consumer Price Index	5521008	Light bulb	Price (Rand)	Monthly	11015	Each	2017-01-01 	..	
13115	P0141	Consumer Price Index	5611002	Laundry soap	Price (Rand)	Monthly	10895	500 Gram	2017-01-01 	13.37	
13194	P0141	Consumer Price Index	5611003	Washing powder	Price (Rand)	Monthly	10924	2 Kilogram	2017-01-01 	49.11	
13273	P0141	Consumer Price Index	5611004	Dish-washing liquid	Price (Rand)	Monthly	11044	750 Millilitre	2017-01-01 	23.65	
13352	P0141	Consumer Price Index	5611005	Wax shoe polish	Price (Rand)	Monthly	11000	50 Millilitre	2017-01-01 	11.75	
13431	P0141	Consumer Price Index	5611007	Indoor Insecticide	Price (Rand)	Monthly	11022	300 Millilitre	2017-01-01 	22.67	
13510	P0141	Consumer Price Index	5611008	Toiletcare - Disinfectant bleaches	Price (Rand)	Monthly	11044	750 Millilitre	2017-01-01 	26.77	
13589	P0141	Consumer Price Index	5611009	Fabrick softner	Price (Rand)	Monthly	10963	2 Litre	2017-01-01 	..	
13668	P0141	Consumer Price Index	6111001	Pain Killers	Price (Rand)	Monthly	10564	For 24	2017-01-01 	22.26	
13747	P0141	Consumer Price Index	6111002	Cough syrup	Price (Rand)	Monthly	11008	100 Millilitre	2017-01-01 	44.79	
13826	P0141	Consumer Price Index	6111003	Vitamin and mineral supplement	Price (Rand)	Monthly	10567	For 30	2017-01-01 	95.35	
13905	P0141	Consumer Price Index	6111006	Cold and flu medication	Price (Rand)	Monthly	10530	48.8 Gram	2017-01-01 	40.38	
13984	P0141	Consumer Price Index	6111007	Heartburn medication	Price (Rand)	Monthly	11011	150 Millilitre	2017-01-01 	71.77	
14063	P0141	Consumer Price Index	6111009	Sore throat lozenges	Price (Rand)	Monthly	10564	For 24	2017-01-01 	52.54	
14142	P0141	Consumer Price Index	6111010	Laxatives	Price (Rand)	Monthly	10553	For 12	2017-01-01 	14.9	
14221	P0141	Consumer Price Index	6111013	Eyedrops	Price (Rand)	Monthly	10993	10 Millilitre	2017-01-01 	47.43	
14300	P0141	Consumer Price Index	7221002	Diesel	Price (Rand)	Monthly	10737	Per Litre	2017-01-01 	12.77	
14379	P0141	Consumer Price Index	9131005	Printer cartriges	Price (Rand)	Monthly	11015	Each	2017-01-01 	..	
14458	P0141	Consumer Price Index	9341001	Dog food - Pellets	Price (Rand)	Monthly	10937	8 Kilogram	2017-01-01 	152.33	
14537	P0141	Consumer Price Index	9341002	Dog food - tinned	Price (Rand)	Monthly	10908	775 Gram	2017-01-01 	22.79	
14616	P0141	Consumer Price Index	9341003	Cat food - tinned	Price (Rand)	Monthly	10881	385 Gram	2017-01-01 	14.28	
14695	P0141	Consumer Price Index	9341004	Cat food - pellets	Price (Rand)	Monthly	10922	1.75 Kilogram	2017-01-01 	54	
14774	P0141	Consumer Price Index	9541007	Printer paper	Price (Rand)	Monthly	11075	For 2500	2017-01-01 	..	
14853	P0141	Consumer Price Index	12131001	Shampoo	Price (Rand)	Monthly	11034	400 Millilitre	2017-01-01 	47.74	
14932	P0141	Consumer Price Index	12131002	Conditioner	Price (Rand)	Monthly	11034	400 Millilitre	2017-01-01 	55.28	
15011	P0141	Consumer Price Index	12131003	Tissues	Price (Rand)	Monthly	10637	Pack Of 2 Ply 180 Tissues	2017-01-01 	22.2	
15090	P0141	Consumer Price Index	12131004	Sanitory Pads	Price (Rand)	Monthly	10740	Per Pack	2017-01-01 	21.05	
15169	P0141	Consumer Price Index	12131005	Tampons	Price (Rand)	Monthly	10529	For 16	2017-01-01 	29.51	
15248	P0141	Consumer Price Index	12131006	Bar Of Bath Soap	Price (Rand)	Monthly	10851	175 Gram	2017-01-01 	12.46	
15327	P0141	Consumer Price Index	12131007	Tooth Brush	Price (Rand)	Monthly	11015	Each	2017-01-01 	26.73	
15406	P0141	Consumer Price Index	12131008	Skin Lotion	Price (Rand)	Monthly	11034	400 Millilitre	2017-01-01 	30.61	
15485	P0141	Consumer Price Index	12131010	Toilet Paper	Price (Rand)	Monthly	10520	Pack Of 2 Ply 9 Rolls	2017-01-01 	55.94	
15564	P0141	Consumer Price Index	12131012	Tooth Paste	Price (Rand)	Monthly	11008	100 Millilitre	2017-01-01 	11.66	
15643	P0141	Consumer Price Index	12131013	Aerosol Deodorant	Price (Rand)	Monthly	11011	150 Millilitre	2017-01-01 	29.19	
15722	P0141	Consumer Price Index	12131014	Hair Relaxers	Price (Rand)	Monthly	11019	250 Millilitre	2017-01-01 	25.02	
15801	P0141	Consumer Price Index	12131015	Hair Colour	Price (Rand)	Monthly	10740	Per	2017-01-01 	78.45	
15880	P0141	Consumer Price Index	12131017	Bubble Bath	Price (Rand)	Monthly	10963	2 Litre	2017-01-01 	49.29	
15959	P0141	Consumer Price Index	12131018	Powder (Including Baby Powder)	Price (Rand)	Monthly	10855	200 Gram	2017-01-01 	26.79	
16038	P0141	Consumer Price Index	12131019	Wipes	Price (Rand)	Monthly	10722	For 40	2017-01-01 	..	
16117	P0141	Consumer Price Index	12131020	Make-up foundation	Price (Rand)	Monthly	10998	30 Millilitre	2017-01-01 	..	
16196	P0141	Consumer Price Index	12131021	Non-electrical shavers	Price (Rand)	Monthly	10531	For 5	2017-01-01 	..	
2	P0141	Consumer Price Index	1111001	Rice	Price (Rand)	monthly	10917	1 Kilogram	2017-02-01 	18.58	
81	P0141	Consumer Price Index	1111001	Rice	Price (Rand)	monthly	10924	2 Kilogram	2017-02-01 	26.48	
160	P0141	Consumer Price Index	1112001	Loaf of white bread	Price (Rand)	monthly	10902	700 Gram	2017-02-01 	13.38	
239	P0141	Consumer Price Index	1112002	Loaf of brown bread	Price (Rand)	monthly	10902	700 Gram	2017-02-01 	12.23	
318	P0141	Consumer Price Index	1112003	Sweet biscuits	Price (Rand)	monthly	10855	200 Gram	2017-02-01 	14.6	
397	P0141	Consumer Price Index	1112004	Savoury biscuits	Price (Rand)	monthly	10855	200 Gram	2017-02-01 	19.44	
476	P0141	Consumer Price Index	1112005	Bread rolls	Price (Rand)	monthly	10558	For 6	2017-02-01 	11.9	
555	P0141	Consumer Price Index	1112301	Rusks	Price (Rand)	monthly	10895	500 Gram	2017-02-01 	33.88	
634	P0141	Consumer Price Index	1113001	Spaghetti	Price (Rand)	monthly	10895	500 Gram	2017-02-01 	12.81	
713	P0141	Consumer Price Index	1113002	Macaroni	Price (Rand)	monthly	10895	500 Gram	2017-02-01 	12.63	
792	P0141	Consumer Price Index	1113003	Pasta (excl spaghetti, macaroni)	Price (Rand)	monthly	10895	500 Gram	2017-02-01 	17.16	
871	P0141	Consumer Price Index	1113004	Instant noodles (e.g. 2 minute noodles)	Price (Rand)	monthly	10547	73 Gram	2017-02-01 	4.5	
950	P0141	Consumer Price Index	1116001	Cake flour	Price (Rand)	monthly	10926	2.5 Kilogram	2017-02-01 	26.77	
1029	P0141	Consumer Price Index	1116002	Bread flour	Price (Rand)	monthly	10926	2.5 Kilogram	2017-02-01 	31.65	
1108	P0141	Consumer Price Index	1116003	Maize meal	Price (Rand)	monthly	10926	2,5 Kilogram	2017-02-01 	..	
